DBASE_NUM_TRANS : 2900
DBASE_MAXITEM : 24
MINSUPPORT : 200 (0)
0 - 1303
1 - 2468
2 - 2529
3 - 1557
4 - 2319
5 - 1805
6 - 1970
7 - 1607
8 - 1981
9 - 1866
10 - 1369
11 - 559
12 - 484
13 - 245
14 - 1154
15 - 584
16 - 200
21 - 286
0 0  - 577
0 0 0  - 246
0 0 0 6  - 229
0 0 -1 1  - 247
0 0 -1 1 2  - 219
0 0 1  - 376
0 0 1 2  - 276
0 0 1 3  - 208
0 0 1 4  - 235
0 0 6  - 531
0 0 6 -1 -1 1  - 223
0 0 6 -1 -1 1 2  - 201
0 1  - 1060
0 1 -1 1  - 646
0 1 -1 1 2  - 566
0 1 -1 1 2 -1 4  - 265
0 1 -1 1 2 -1 7  - 214
0 1 -1 1 2 -1 9  - 238
0 1 -1 1 4  - 299
0 1 -1 1 7  - 258
0 1 -1 1 9  - 283
0 1 2  - 914
0 1 2 -1 -1 1  - 474
0 1 2 -1 -1 1 2  - 466
0 1 2 -1 -1 1 2 -1 4  - 265
0 1 2 -1 -1 1 2 -1 9  - 238
0 1 2 -1 -1 1 4  - 273
0 1 2 -1 -1 1 9  - 240
0 1 2 -1 3  - 585
0 1 2 -1 3 -1 -1 1  - 339
0 1 2 -1 3 -1 -1 1 2  - 331
0 1 2 -1 3 -1 4  - 297
0 1 2 -1 4  - 486
0 1 2 -1 5  - 232
0 1 2 -1 5 2  - 232
0 1 2 -1 7  - 337
0 1 2 -1 7 2  - 209
0 1 2 -1 8  - 362
0 1 2 -1 8 4  - 255
0 1 2 -1 8 5  - 220
0 1 2 -1 8 5 2  - 220
0 1 2 -1 9  - 386
0 1 2 -1 15  - 252
0 1 3  - 738
0 1 3 -1 -1 1  - 471
0 1 3 -1 -1 1 2  - 431
0 1 3 -1 -1 1 2 -1 7  - 208
0 1 3 -1 -1 1 7  - 217
0 1 3 -1 4  - 327
0 1 4  - 586
0 1 4 -1 -1 1  - 230
0 1 5  - 275
0 1 5 2  - 232
0 1 7  - 403
0 1 7 2  - 225
0 1 8  - 531
0 1 8 -1 -1 1  - 235
0 1 8 -1 -1 1 2  - 203
0 1 8 4  - 304
0 1 8 5  - 376
0 1 8 5 -1 -1 -1 1  - 202
0 1 8 5 2  - 268
0 1 8 5 2 -1 6  - 232
0 1 8 5 6  - 340
0 1 8 5 6 -1 -1 -1 -1 1  - 202
0 1 9  - 437
0 1 14  - 250
