DBASE_NUM_TRANS : 2900
DBASE_MAXITEM : 24
MINSUPPORT : 300 (0)
0 - 1303
1 - 2468
2 - 2529
3 - 1557
4 - 2319
5 - 1805
6 - 1970
7 - 1607
8 - 1981
9 - 1866
10 - 1369
11 - 559
12 - 484
14 - 1154
15 - 584
0 0  - 577
0 0 1  - 376
0 0 6  - 531
0 1  - 1060
0 1 -1 1  - 646
0 1 -1 1 2  - 566
0 1 2  - 914
0 1 2 -1 -1 1  - 474
0 1 2 -1 -1 1 2  - 466
0 1 2 -1 3  - 585
0 1 2 -1 3 -1 -1 1  - 339
0 1 2 -1 3 -1 -1 1 2  - 331
0 1 2 -1 4  - 486
0 1 2 -1 7  - 337
0 1 2 -1 8  - 362
0 1 2 -1 9  - 386
0 1 3  - 738
0 1 3 -1 -1 1  - 471
0 1 3 -1 -1 1 2  - 431
0 1 3 -1 4  - 327
0 1 4  - 586
0 1 7  - 403
0 1 8  - 531
0 1 8 4  - 304
0 1 8 5  - 376
0 1 8 5 6  - 340
0 1 9  - 437
0 6  - 584
1 2  - 2160
1 2 -1 3  - 745
1 2 -1 4  - 740
1 2 -1 5  - 351
1 2 -1 5 2  - 351
1 2 -1 7  - 567
1 2 -1 7 2  - 418
1 2 -1 8  - 1208
1 2 -1 8 4  - 581
1 2 -1 8 5  - 719
1 2 -1 8 5 2  - 719
1 2 -1 8 5 2 -1 6  - 683
1 2 -1 8 5 6  - 683
1 2 -1 9  - 989
1 2 -1 9 4  - 476
1 2 -1 9 9  - 364
1 2 -1 9 10  - 308
1 3  - 939
1 3 -1 4  - 434
1 4  - 852
1 5  - 472
1 5 2  - 351
1 5 6  - 330
1 7  - 688
1 7 2  - 434
1 8  - 1339
1 8 4  - 684
1 8 5  - 919
1 8 5 2  - 767
1 8 5 2 -1 6  - 731
1 8 5 4  - 334
1 8 5 6  - 883
1 8 10  - 302
1 9  - 1092
1 9 4  - 498
1 9 5  - 316
1 9 9  - 372
1 9 10  - 375
1 14  - 483
1 15  - 313
5 2  - 1551
5 2 -1 3  - 557
5 2 -1 4  - 605
5 2 -1 6  - 1371
5 2 -1 6 -1 3  - 399
5 2 -1 6 -1 4  - 526
5 3  - 660
5 4  - 708
5 6  - 1677
5 6 -1 3  - 477
5 6 -1 4  - 604
5 9  - 316
5 14  - 375
5 14 -1 6  - 306
7 2  - 1146
7 14  - 474
8 4  - 1066
8 5  - 1048
8 5 2  - 896
8 5 2 -1 4  - 303
8 5 2 -1 6  - 839
8 5 3  - 346
8 5 4  - 400
8 5 6  - 991
8 5 6 -1 4  - 339
8 7  - 505
8 8  - 320
8 9  - 518
8 10  - 771
9 4  - 971
9 5  - 491
9 5 2  - 456
9 5 2 -1 6  - 414
9 5 6  - 449
9 7  - 538
9 7 2  - 396
9 8  - 493
9 9  - 503
9 9 4  - 316
9 10  - 871
F1 - 15 24
F2 - 32 225
F3 - 40 632
F4 - 27 686
F5 - 7 408
F6 - 2 76
F7 - 0 20
[ 1 24 15 0.00462198 0 ] [ 2 225 32 0.00822902 0 ] [ 3 632 40 0.0152352 0 ] [ 4 686 27 0.0199561 0 ] [ 5 408 7 0.0123498 0 ] [ 6 76 2 0.00199819 0 ] [ 7 20 0 0.000351191 0 ] [ SUM 2071 123 0.0627415 ] 0.067811
TIME = 0.067811
BrachIt = 115
