0 0  - 1003
0 0 0  - 696
0 0 0 8  - 655
0 0 1  - 858
0 0 1 2  - 423
0 0 1 5  - 445
0 0 1 17  - 435
0 0 8  - 941
0 1  - 1470
0 1 -1 1  - 565
0 1 -1 1 2  - 522
0 1 2  - 1025
0 1 2 -1 -1 1  - 522
0 1 2 -1 -1 1 2  - 522
0 1 2 -1 3  - 506
0 1 2 -1 5  - 512
0 1 2 -1 10  - 440
0 1 3  - 700
0 1 4  - 483
0 1 5  - 784
0 1 10  - 574
0 1 15  - 476
0 1 17  - 445
0 2  - 483
0 8  - 963
0 17  - 597
1 2  - 2510
1 2 -1 3  - 770
1 2 -1 4  - 1048
1 2 -1 5  - 723
1 2 -1 9  - 946
1 2 -1 9 2  - 821
1 2 -1 10  - 1150
1 2 -1 10 5  - 500
1 2 -1 10 7  - 452
1 2 -1 10 7 2  - 452
1 2 -1 10 7 2 -1 8  - 452
1 2 -1 10 7 8  - 452
1 3  - 964
1 4  - 1137
1 4 5  - 429
1 5  - 995
1 9  - 1027
1 9 2  - 821
1 10  - 1284
1 10 5  - 582
1 10 7  - 476
1 10 7 2  - 452
1 10 7 2 -1 8  - 452
1 10 7 8  - 476
1 15  - 479
1 17  - 445
4 5  - 597
4 6  - 412
7 2  - 1012
7 2 -1 8  - 997
7 8  - 1139
9 2  - 1292
10 5  - 816
10 7  - 596
10 7 2  - 572
10 7 2 -1 8  - 572
10 7 8  - 596
18 8  - 400
