0 0  - 577
0 0 6  - 531
0 1  - 1060
0 1 -1 1  - 646
0 1 -1 1 2  - 566
0 1 2  - 914
0 1 2 -1 -1 1  - 474
0 1 2 -1 -1 1 2  - 466
0 1 2 -1 3  - 585
0 1 2 -1 4  - 486
0 1 3  - 738
0 1 3 -1 -1 1  - 471
0 1 3 -1 -1 1 2  - 431
0 1 4  - 586
0 1 7  - 403
0 1 8  - 531
0 1 9  - 437
0 6  - 584
1 2  - 2160
1 2 -1 3  - 745
1 2 -1 4  - 740
1 2 -1 7  - 567
1 2 -1 7 2  - 418
1 2 -1 8  - 1208
1 2 -1 8 4  - 581
1 2 -1 8 5  - 719
1 2 -1 8 5 2  - 719
1 2 -1 8 5 2 -1 6  - 683
1 2 -1 8 5 6  - 683
1 2 -1 9  - 989
1 2 -1 9 4  - 476
1 3  - 939
1 3 -1 4  - 434
1 4  - 852
1 5  - 472
1 7  - 688
1 7 2  - 434
1 8  - 1339
1 8 4  - 684
1 8 5  - 919
1 8 5 2  - 767
1 8 5 2 -1 6  - 731
1 8 5 6  - 883
1 9  - 1092
1 9 4  - 498
1 14  - 483
5 2  - 1551
5 2 -1 3  - 557
5 2 -1 4  - 605
5 2 -1 6  - 1371
5 2 -1 6 -1 4  - 526
5 3  - 660
5 4  - 708
5 6  - 1677
5 6 -1 3  - 477
5 6 -1 4  - 604
7 2  - 1146
7 14  - 474
8 4  - 1066
8 5  - 1048
8 5 2  - 896
8 5 2 -1 6  - 839
8 5 4  - 400
8 5 6  - 991
8 7  - 505
8 9  - 518
8 10  - 771
9 4  - 971
9 5  - 491
9 5 2  - 456
9 5 2 -1 6  - 414
9 5 6  - 449
9 7  - 538
9 8  - 493
9 9  - 503
9 10  - 871
